e,r
1,-64
2,-51
3,-67
4,-75
5,-50
6,-50
7,-50
8,-53
9,-61
10,-52
11,-57
12,-55
13,-51
14,-54
15,-52
16,-51
17,-50
18,-51
19,-50
20,-50
21,-58
22,-63
23,-50
24,-59
25,-52
26,-50
27,-69
28,43
29,-50
30,-50
31,-51
32,44
33,-50
34,-53
35,-64
36,-52
37,-51
38,-56
39,-50
40,-51
41,-60
42,-51
43,-51
44,-57
45,-52
46,-50
47,-50
48,-50
49,-54
50,-50
51,-58
52,-61
53,-53
54,-56
55,-52
56,-55
57,-51
58,-57
59,-50
60,-50
61,-54
62,39
63,-50
64,-53
65,-54
66,-50
67,-53
68,-50
69,-57
70,-50
71,-53
72,-56
73,-57
74,-53
75,-51
76,-50
77,-54
78,-50
79,-53
80,-54
81,-51
82,-54
83,-53
84,-53
85,-56
86,-51
87,-53
88,-50
89,-53
90,-56
91,-53
92,-53
93,-54
94,-51
95,-50
96,-55
97,-52
98,-57
99,-55
100,-50
101,-53
102,-50
103,-50
104,-56
105,-54
106,-53
107,-51
108,-50
