e,r
1,-128
2,-111
3,-118
4,-140
5,-110
6,-89
7,-79
8,-123
9,-152
10,-113
11,-115
12,-105
13,-153
14,-273
15,-139
16,-68
17,-230
18,-61
19,-247
20,-78
21,-175
22,-105
23,-211
24,-140
25,-110
26,-95
27,-91
28,-106
29,-73
30,-143
31,-171
32,-92
33,-220
34,-96
35,-160
36,-81
37,-121
38,-94
39,-131
40,-115
41,-354
42,-125
43,-81
44,-80
45,-188
46,-90
47,-209
48,-122
49,-99
50,-224
51,-105
52,-121
53,-290
54,-185
55,-113
56,-162
57,-165
58,-138
59,-137
60,-153
61,-245
62,-90
63,-465
64,-103
65,-88
66,-125
67,-76
68,-100
69,-219
70,-140
71,-296
72,-294
73,-88
74,-158
75,-170
76,-103
77,-119
78,-90
79,-140
80,-306
81,-311
82,-258
83,-94
84,-91
85,-158
86,-35
87,-68
88,-125
89,-72
90,-316
91,-111
92,-154
93,-199
94,9
95,-317
96,-87
97,-143
98,-226
99,-188
100,-276
101,-142
102,-734
103,-248
104,-92
105,-207
106,-249
107,-684
108,-35
109,-122
110,-156
111,-214
112,6
113,-403
114,-127
115,-450
116,-133
117,-104
118,-345
119,-315
120,-232
121,-397
122,-289
123,-166
124,-235
125,-343
126,-162
127,-217
128,-106
129,-32
130,-132
131,-501
132,-160
133,-137
134,-173
135,-117
136,-133
137,-170
138,-350
139,-110
140,-92
141,-80
142,-257
143,-110
144,-143
145,-133
146,-15
147,-73
148,-112
149,-353
150,-122
151,-379
152,-554
153,-172
154,-147
155,-684
156,-118
157,-148
158,-131
159,-353
160,-248
161,-309
162,-318
163,-271
164,-56
165,-311
166,-151
167,-123
168,-234
169,-31
170,-231
171,-215
172,-223
173,-563
174,-116
175,-144
176,-350
177,-297
178,-368
179,-284
180,-44
181,-79
182,-115
183,-247
184,-822
185,-38
186,-72
187,-148
188,-531
189,-224
190,-193
191,-238
192,-200
193,-396
194,-318
195,-248
196,-56
197,-180
198,-129
199,-28
200,-171
201,-201
202,-38
203,-514
204,-300
205,-158
206,-108
207,-114
208,-368
209,-41
210,-361
211,-113
212,-93
213,-94
214,-42
215,-40
216,-132
217,-262
218,-126
219,-75
220,-224
221,2
222,-296
223,-61
224,-575
225,-237
226,-128
227,-6
228,-285
229,-464
230,-149
231,-321
232,-35
233,-243
234,-139
235,-890
236,-377
237,-173
238,-33
239,-170
240,-25
241,-548
242,-314
243,-79
244,-208
245,-185
246,-31
247,-131
248,-277
249,-326
250,-68
251,-110
252,-73
253,-266
254,-93
255,-152
256,-369
257,-163
258,-612
259,-157
260,-86
261,-270
262,-137
263,-162
264,-194
265,-766
266,-69
267,-674
268,-179
269,-455
270,-557
271,-274
272,0
273,-122
274,-494
275,-79
276,-184
277,-136
278,-30
279,-75
280,-607
281,-517
282,-6
283,-21
284,-20
285,-209
286,-42
287,-262
288,-75
289,-354
290,-238
291,-170
292,-148
293,-2
294,-93
295,-177
296,-8
297,-41
298,-15
299,-329
300,-3
301,-111
302,-64
303,-44
304,-281
305,-119
306,-207
307,-190
308,-13
309,-205
310,-158
311,-201
312,-73
313,-80
314,-992
315,-195
316,-13
317,-343
318,-54
319,-168
320,-72
321,-105
322,-468
323,-211
324,-407
325,-244
326,-559
327,-46
328,-130
329,-477
330,-243
331,-419
332,-240
333,-15
334,-33
335,-115
336,-43
337,-268
338,-53
339,-568
340,-439
341,-30
342,-839
343,-17
344,-175
345,-296
346,-28
347,-419
348,-199
349,-284
350,-49
351,-55
352,-219
353,-17
354,-7
355,-374
356,-6
357,-300
358,-4
359,16
360,-125
361,-140
362,-46
363,-70
364,1
365,8
366,-124
367,-34
368,-25
369,-46
370,14
371,-117
372,7
373,-76
374,-45
375,-65
376,-150
377,-226
378,-7
379,-39
380,-10
381,-13
382,10
383,-28
384,-162
385,-149
386,-52
387,-9
388,-338
389,-111
390,-109
391,-185
392,-86
393,-167
394,7
395,-195
396,-15
397,-403
398,-231
399,4
400,-412
401,-73
402,-6
403,-12
404,-64
405,-137
406,-132
407,-68
408,-106
409,-80
410,-28
411,-37
412,-49
413,23
414,-149
415,-78
416,13
417,-47
418,-133
419,14
420,28
421,-296
422,5
423,10
424,-74
425,-134
426,-54
427,-363
428,-73
429,-142
430,-52
431,-25
432,-19
433,15
434,7
435,-69
436,14
437,-98
438,7
439,-35
440,14
441,-50
442,-1
443,-4
444,-29
445,-42
446,0
447,26
448,-6
449,-1
450,-50
451,-85
452,-155
453,-298
454,29
455,-89
456,26
457,26
458,14
459,-153
460,10
461,25
462,-158
463,-63
464,-164
465,-101
466,-18
467,14
468,22
469,11
470,-16
471,16
472,10
473,8
474,27
475,-37
476,-248
477,-18
478,28
479,1
480,10
481,29
482,14
483,31
484,9
485,25
486,15
487,33
488,33
489,-8
490,15
491,10
492,26
493,7
494,32
495,11
496,-59
497,-66
498,-64
499,29
500,31
501,-2
502,29
503,22
504,19
505,31
506,32
507,25
508,16
509,3
510,30
511,18
512,31
513,33
514,32
515,30
516,32
517,27
518,31
519,33
520,30
521,33
522,32
523,31
524,33
525,5
526,29
527,33
528,32
529,28
530,26
531,16
532,-10
533,24
534,29
535,11
536,31
537,27
538,30
539,11
540,32
541,32
542,-26
543,33
544,19
545,28
546,33
547,28
548,33
549,31
550,33
551,32
552,32
553,31
554,29
555,30
556,29
557,31
558,0
559,26
560,33
561,33
562,33
563,33
564,-112
565,30
566,31
567,33
568,26
569,7
570,33
571,32
572,33
573,33
574,33
575,33
576,28
577,32
578,9
579,31
580,31
581,31
582,28
583,24
584,31
585,27
586,26
587,29
588,23
589,31
590,32
591,27
592,33
593,24
594,15
595,33
596,32
597,17
598,29
599,21
600,24
601,24
602,29
603,32
604,32
605,25
606,27
607,33
608,-96
609,28
610,32
611,-16
612,30
613,31
614,31
615,32
616,31
617,31
618,32
619,28
620,27
621,27
622,33
623,30
624,33
625,29
626,17
627,-12
628,32
629,27
630,33
631,-9
632,27
633,32
634,27
635,31
636,28
637,33
638,4
639,26
640,33
641,33
642,28
643,33
644,30
645,22
646,31
647,31
648,32
649,33
650,33
651,31
652,33
653,33
654,33
655,33
656,33
657,33
658,33
659,33
660,33
661,33
662,33
663,31
664,33
665,31
666,33
667,31
668,33
669,31
670,33
671,33
672,33
673,33
674,33
675,33
676,31
677,33
678,33
679,33
680,33
681,31
682,33
683,33
684,33
685,33
686,33
687,33
688,33
689,33
690,33
691,31
692,32
693,33
694,33
695,33
696,33
697,33
698,33
699,33
700,33
701,33
702,31
703,33
704,33
705,32
706,33
707,33
708,33
709,33
710,33
711,31
712,30
713,33
714,31
715,32
716,31
717,33
718,32
719,33
720,33
721,33
722,32
723,33
724,33
725,33
726,33
727,33
728,31
729,33
730,33
