e,r,r
1,-74,-25
2,-16,-65
3,-11,-60
4,-6,-55
5,-93,-44
6,-7,-56
7,-53,-102
8,-72,-23
9,-10,-59
10,-90,-41
11,-16,-65
12,-60,-11
13,-72,-23
14,-68,-19
15,-57,-8
16,-78,-29
17,-89,-40
18,-81,-32
19,-19,-68
20,-7,-56
21,-8,-57
22,-11,-60
23,-61,-12
24,-67,-18
25,-18,-67
26,-25,-74
27,-100,-51
28,-74,-25
29,-18,-67
30,-17,-66
31,-12,-61
32,-9,-58
33,-68,-19
34,-7,-56
35,-24,-73
36,-5,-54
37,-7,-56
38,-12,-61
39,-7,-56
40,-73,-24
41,-14,-63
42,-5,-54
43,-60,-11
44,-11,-60
45,-62,-13
46,-16,-65
47,-17,-66
48,-33,-82
49,-10,-59
50,-84,-35
51,-4,-53
52,-61,-12
53,-74,-25
54,-76,-27
55,-67,-18
56,-19,-68
57,-7,-56
58,-26,-75
59,-34,-83
60,-12,-61
61,-12,-61
62,-20,-69
63,-62,-13
64,-10,-59
65,-44,-93
66,-56,-7
67,-16,-65
68,-57,-8
69,-8,-57
70,-18,-67
71,-12,-61
72,-43,-92
73,-68,-19
74,-11,-60
75,-4,-53
76,-24,-73
77,-44,-93
78,-68,-19
79,-97,-48
80,-59,-10
81,-23,-72
82,-70,-21
83,-75,-26
84,-15,-64
85,-78,-29
86,-92,-43
87,-59,-10
88,-71,-22
89,-13,-62
90,-82,-33
91,-29,-78
92,-58,-9
93,-4,-53
94,-55,-6
95,-23,-72
96,-6,-55
97,-63,-14
98,-75,-26
99,-9,-58
100,-9,-58
101,-6,-55
102,-63,-14
103,-13,-62
104,-10,-59
105,-54,-103
106,-73,-24
107,-60,-11
108,-23,-72
109,-75,-26
110,-22,-71
111,-17,-66
112,-74,-25
113,-13,-62
114,-76,-27
115,-74,-74
116,-73,-24
117,-60,-11
118,-15,-64
119,-12,-61
120,-58,-9
121,-60,-11
122,-11,-60
123,-67,-18
124,-8,-57
125,-62,-13
126,-83,-34
127,-17,-66
128,-55,-6
129,-12,-61
130,-8,-57
131,-61,-61
132,-21,-70
133,-67,-18
134,-50,-99
135,-64,-15
136,-14,-63
137,-99,-50
138,-19,-68
139,-13,-62
140,-66,-17
141,-9,-58
142,-71,-22
143,-23,-72
144,-43,-92
145,-6,-55
146,-64,-15
147,-39,-88
148,-67,-18
149,-28,-77
150,-55,-6
151,-19,-68
152,-13,-62
153,-22,-71
154,-10,-59
155,-61,-12
156,-59,-10
157,-16,-65
158,-20,-69
159,-68,-19
160,-5,-54
161,-9,-58
162,-6,-55
163,-57,-57
164,-59,-10
165,-18,-67
166,-74,-25
167,-23,-72
168,-66,-66
169,-41,-90
170,-66,-17
171,-77,-28
172,-65,-16
173,-45,-94
174,-61,-12
175,-32,-81
176,-102,-53
177,-59,-59
178,-20,-69
179,-33,-82
180,-73,-24
181,-57,-8
182,-20,-69
183,-82,-33
184,-17,-66
185,-20,-69
186,-16,-65
187,-10,-59
188,-8,-57
189,-18,-67
190,-29,-78
191,-53,-102
192,-7,-56
193,-60,-11
194,-62,-13
195,-57,-8
196,-9,-58
197,-64,-15
198,-20,-69
199,-8,-57
200,-60,-11
201,-59,-10
202,-64,-113
203,-68,-19
204,-64,-15
205,-55,-6
206,-28,-77
207,-93,-44
208,-74,-25
209,-14,-63
210,-7,-56
211,-61,-12
212,-31,-80
213,-27,-76
214,-7,-56
215,-11,-60
216,-56,-7
217,-78,-29
218,-67,-18
219,-63,-14
220,-12,-61
221,-56,-7
222,-57,-8
223,-7,-56
224,-5,-54
225,-13,-62
226,-81,-32
227,-46,-95
228,-6,-55
229,-24,-73
230,-5,-54
231,-56,-7
232,-30,-79
233,-25,-74
234,-22,-71
235,-54,-5
236,-107,-58
237,-12,-61
238,-52,-101
239,-22,-71
240,-27,-76
241,-72,-23
242,-64,-15
243,-29,-78
244,-60,-11
245,-90,-41
246,-27,-76
247,-41,-90
248,-35,-84
249,-5,-54
250,-13,-62
251,-20,-69
252,-18,-67
253,-74,-25
254,-93,-44
255,-66,-17
256,-12,-61
257,-62,-13
258,-70,-70
259,-5,-54
260,-48,-97
261,-70,-21
262,-6,-55
263,-4,-53
264,-15,-64
265,-71,-22
266,-5,-54
267,-83,-34
268,-15,-64
269,-12,-61
270,-58,-9
271,-46,-95
272,-80,-31
273,-42,-91
274,-69,-20
275,-18,-67
276,-31,-80
277,-70,-21
278,-7,-56
279,-13,-62
280,-30,-79
281,-30,-79
282,-60,-11
283,-61,-12
284,-8,-57
285,-18,-67
286,-34,-83
287,-10,-59
288,-56,-7
289,-11,-60
290,-79,-30
291,-82,-33
292,-35,-84
293,-9,-58
294,-25,-74
295,-71,-22
296,-25,-74
297,-4,-53
298,-12,-61
299,-20,-69
300,-63,-14
301,-5,-54
302,-68,-19
303,-19,-68
304,-35,-84
305,-25,-74
306,-58,-9
307,-7,-56
308,-70,-21
309,-12,-61
310,-69,-69
311,-6,-55
312,-34,-83
313,-86,-37
314,-66,-17
315,-67,-18
316,-79,-30
317,-21,-70
318,-68,-19
319,-18,-67
320,-62,-13
321,-59,-10
322,-56,-7
323,-60,-11
324,-62,-13
325,-6,-55
326,-16,-65
327,-10,-59
328,-18,-67
329,-16,-65
330,-17,-66
331,-62,-13
332,-12,-61
333,-17,-66
334,-85,-36
335,-75,-26
336,-70,-21
337,-7,-56
338,-9,-58
339,-54,-5
340,-23,-72
341,-16,-65
342,-70,-21
343,-17,-66
344,-19,-68
345,-107,-58
346,-66,-17
347,-33,-82
348,-38,-87
349,-20,-69
350,-18,-67
351,-28,-77
352,-18,-67
353,-42,-91
354,-63,-63
355,-38,-87
356,-23,-72
357,-39,-88
358,-57,-8
359,-19,-68
360,-69,-20
361,-14,-63
362,-10,-59
363,-26,-75
364,-19,-68
365,-70,-21
366,-61,-12
367,-35,-84
368,-13,-62
369,-23,-72
370,-19,-68
371,-90,-41
372,-22,-71
373,-72,-23
374,-12,-61
375,-11,-60
376,-59,-10
377,-56,-7
378,-19,-68
379,-43,-92
380,-19,-68
381,-64,-15
382,-17,-66
383,-14,-63
384,-11,-60
385,-6,-55
386,-18,-67
387,-70,-21
388,-4,-53
389,-61,-12
390,-15,-64
391,-25,-74
392,-18,-67
393,-11,-60
394,-21,-70
395,-23,-72
396,-82,-33
397,-66,-17
398,-57,-8
399,-5,-54
400,-19,-68
401,-8,-57
402,-18,-67
403,-54,-103
404,-67,-18
405,-23,-72
406,-13,-62
407,-24,-73
408,-11,-60
409,-55,-6
410,-5,-54
411,-15,-64
412,-27,-76
413,-37,-86
414,-12,-61
415,-54,-103
416,-92,-43
417,-46,-95
418,-18,-67
419,-60,-11
420,-14,-63
421,-27,-76
422,-60,-11
423,-66,-17
424,-13,-62
425,-55,-6
426,-35,-84
427,-62,-13
428,-15,-64
429,-70,-21
430,-17,-66
431,-19,-68
432,-9,-58
433,-54,-5
434,-6,-55
435,-7,-56
436,-55,-6
437,-16,-65
438,-61,-12
439,-28,-77
440,-58,-9
441,-23,-72
442,-89,-40
443,-11,-60
444,-66,-17
445,-64,-15
446,-79,-30
447,-14,-63
448,-6,-55
449,-18,-67
450,-81,-32
451,-27,-76
452,-65,-16
453,-55,-6
454,-22,-71
455,-7,-56
456,-16,-65
457,-22,-71
458,-111,-62
459,-32,-81
460,-8,-57
461,-60,-11
462,-56,-7
463,-9,-58
464,-57,-8
465,-4,-53
466,-61,-12
467,-61,-12
468,-74,-25
469,-69,-20
470,-127,-78
471,-66,-17
472,-14,-63
473,-8,-57
474,-35,-84
475,-18,-67
476,-13,-62
477,-13,-62
478,-11,-60
479,-25,-74
480,-11,-60
481,-6,-55
482,-59,-10
483,-20,-69
484,-70,-21
485,-7,-56
486,-25,-74
487,-8,-57
488,-22,-71
489,-12,-61
490,-71,-71
491,-11,-60
492,-60,-11
493,-38,-87
494,-83,-34
495,-5,-54
496,-80,-31
497,-24,-73
498,-35,-84
499,-9,-58
500,-80,-31
501,-22,-71
502,-58,-9
503,-62,-13
504,-74,-25
505,-17,-66
